pmid	doi://10.1101/2020.06.24.162156
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd
Outbreak	Coronahit routine
source	Nabil-Fareed Alikhan
Organism	SARS-CoV-2
dataType	resequencing consistency check

SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969060	ERS5446110	Coronahit routine	-	LR963198	NORW-EB232	-	9f2b77ed50aefe3d46a758a077261d77081c4f013391480bdb104fe54f3be63d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e4f30477f19b4fb7349a1c069c3d9904da68171016bfbac6fcee39dd74865725	NORW-EB232_ARTIC_LoCost	FALSE	
ERR4970123	ERS5446110	Coronahit routine	-	LR963198	NORW-EB232	-	118203ed22fdc4771f62790bd1aec12a454a2253bb30dfb9b19ca8bb0eb5da77	51e7dbd3b2fb399b8201317db356c0c562a2c4bf34999f4aa08a15e4e5a4fe3b	e4f30477f19b4fb7349a1c069c3d9904da68171016bfbac6fcee39dd74865725	NORW-EB232_CoronaHiT-Illumina	FALSE	
ERR4968998	ERS5446110	Coronahit routine	-	LR963198	NORW-EB232	-	1172dc8f2c0f75989589c0a95249df5d4731816e98b8d2e741d9e3cb2a1894b9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e4f30477f19b4fb7349a1c069c3d9904da68171016bfbac6fcee39dd74865725	NORW-EB232_CoronaHiT-ONT	FALSE	
ERR4969068	ERS5446094	Coronahit routine	-	LR963185	NORW-EB26F	-	43834a4cfbbcfd9027eff234e28def97a208920a2676af7a2e97d52603fbbaeb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0c02d8ccf473369efb3a5420754293c019f30e21172d880193986d7c30396575	NORW-EB26F_ARTIC_LoCost	FALSE	
ERR4970102	ERS5446094	Coronahit routine	-	LR963185	NORW-EB26F	-	75676163a025598451c29b744dfbdeb33345a6d89e06459b68f6173f0b1878d5	297e6fec98b78ab46b2cf63c5457cca97ec0ac958d148f5d42024331811be7cf	0c02d8ccf473369efb3a5420754293c019f30e21172d880193986d7c30396575	NORW-EB26F_CoronaHiT-Illumina	FALSE	
ERR4968970	ERS5446094	Coronahit routine	-	LR963185	NORW-EB26F	-	8f3bcec459ef4c650b77e26d39af7c5aba850892db48922a676b2b8c6e5d96ba	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0c02d8ccf473369efb3a5420754293c019f30e21172d880193986d7c30396575	NORW-EB26F_CoronaHiT-ONT	FALSE	
ERR4969079	ERS5446122	Coronahit routine	-	LR963205	NORW-EB28D	-	a556a2f0bc70afcb65999833065c29ed0d916e5e1e7873cecd9c202aaba37bb1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1cc9fe48d98fd53f83a57ec8bc7b25fa61a375e3325c1f79bff29aace15da671	NORW-EB28D_ARTIC_LoCost	FALSE	
ERR4970124	ERS5446122	Coronahit routine	-	LR963205	NORW-EB28D	-	9bc0e5473d4b614038fdc64f89145c3df0851458aad7c9ce09213582e6cf6741	159e6b90982872647c476bdc6a51f123bf343f18b98c4244f668ff41d06db86e	1cc9fe48d98fd53f83a57ec8bc7b25fa61a375e3325c1f79bff29aace15da671	NORW-EB28D_CoronaHiT-Illumina	FALSE	
ERR4969006	ERS5446122	Coronahit routine	-	LR963205	NORW-EB28D	-	d3789c855702443ef9676ecbcedf32ff9cef71cb1386f626ec3788e86dafc476	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1cc9fe48d98fd53f83a57ec8bc7b25fa61a375e3325c1f79bff29aace15da671	NORW-EB28D_CoronaHiT-ONT	FALSE	
ERR4969119	ERS5446096	Coronahit routine	-	LR963224	NORW-EB29C	-	c897de66807c031c99be8efd53276d5057a242301ae1c07665312e0fdcc3d70c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e63ab1e98c588935758d1213fb1b0fbcaaa1e5eae9a4776cbf471a8f5d121ef3	NORW-EB29C_ARTIC_LoCost	FALSE	
